house_name,sale_status,house_type,house_address,house_price
海上海南苑,在售,底商,成华/成渝立交/和美东路221 号,30000
海上海南苑,在售,商业,成华/成渝立交/和美东路221 号,30000
中鑫海广场,在售,商业类,崇州/崇州/金盆地大道229号,10000
锦悦华庭,在售,住宅,武侯/簇桥/水巷子与簇桥中街交叉口南50米,15800
龙湖梵城,在售,底商,成华/万年场/建工路龙湖梵城,65000
瑞华天地,在售,商业类,双流/警院/剑南大道南段716号,12000
天赋龙庭,在售,商业类,龙泉驿/十陵/龙祥商业街88号,7300
飞大美誉大厦,在售,商业类,青羊/草市街/新华大道文武路飞大美誉大厦,25000
营盛大厦,在售,底商,武侯/高升桥/红牌楼北街31号,50000
乐视界广场,在售,商业类,郫都/犀浦/犀浦泰山北街一号,9000
建发第五大道,在售,商业类,天府新区/麓山/麓山大道二段,8800
明宇南御,在售,商业类,高新/城南宜家/益州大道北段388号,17000
亚特兰蒂斯黄金时代,在售,别墅,新津/新津/天府新城南（成雅高速邓双出口下前行500米处）,700
成华奥园广场三期,在售,商业类,成华/万年场/崔家店路与跳蹬河路交汇处,17500
汇尚城,在售,底商,新都/新都城区/家具大道519号,18000
麓府,在售,住宅,天府新区南区/仁寿/仁寿县中央商务大道中段,12000
金辉悦府,在售,底商,"高新西/高新西/百草路778号, 百草路777号",24000
雄飞生活广场,在售,商业类,龙泉驿/十陵/西河镇成洛大道3199号（九峰国际汽车成附近）,7400
万景九洲天府,在售,住宅,天府新区南区/仁寿/天府大道与中建大道交汇处向西200米,13000
融创香璟台二期,在售,底商,高新/中德/梓州大道与新通大道的交汇处,45000
成都文旅城,在售,底商,都江堰/都江堰/成都市都江堰市青外江大桥与青城山大道交汇处(玉堂LG博爱中学旁),25000
桂湖名城二期,在售,商业类,新都/新都城区/电子路中段144号,9500
协信天骄城,在售,住宅,青白江/青白江/凤凰大道一段198号,7450
半岛云著,在售,住宅,新都/大丰/龙桥镇政府西北方向200米,9850
北大资源燕楠国际,在售,住宅,"双流/蛟龙港/东升镇航都大道与商都路交汇处(陶家院子旁), 航都大街二段756号",13200
成华奥园广场三期,在售,底商,成华/万年场/崔家店路与跳蹬河路交汇处（崔家店路418号）,53000
华都九龙广场,在售,底商,新都/毗河/蓉都大道南四段,28000
西郡兰庭,在售,住宅,郫都/犀浦/校园路129号,10000
国光纳帕谷,在售,别墅,都江堰/都江堰/香雪海路19号,11000
天府大学里,在售,住宅,"天府新区南区/仁寿/兴隆湖南侧视高大学城（成都信息工程大学旁）, 视高镇花海大道一段10号",11000
朗诗尚高大厦,在售,商业类,成华/东郊记忆/建设北路三段70号,14000
中粮天府宸悦,在售,商业类,高新/新会展/益州大道和天府三街交汇口,18500
鹭湖宫13区,在售,底商,温江/国色天乡/四川省成都市温江区白鹭路469号附8号,25000
金地悦澜道,在售,住宅,双流/华府/万顺路二段419号,18500
蓝润城,在售,住宅,双流/双流城区/银河路三段（双流体育中心旁）,11500
滨江樾府,在售,别墅,锦江/蓝谷地/沙河铺街208号,19500
世纪百合锦寓,在售,商业类,武侯/簇桥/武侯大道铁佛段289号,10000
悦天地商厦,在售,商业类,温江/温江新城/柳城街办燎原社区八组新华社区一组区,10000
金太阳江安湖1号,在售,商业,双流/蛟龙港/草金路金太阳江安湖1号,9500
新街里金街,在售,商业,高新/市一医院/成汉中路新街里金街,45000
领地金科蘭台府,在售,住宅,郫都/红光/郫都区红光镇国宁西路1555号（红光大道西华大学旁）,16250
置富广场,在售,商业类,天府新区/麓山/武汉路与梓州大道交汇处,11000
外滩新天地,在售,住宅,都江堰/都江堰/都江堰青城大桥旁,10000
和雅嘉御,在售,底商,高新/芳草/永丰路7号（衣冠庙地铁口B出口）,80000
国一梦巢,在售,底商,青羊/万家湾/光华大道光华南二路238号（树德中学旁）,49000
蓝光COCO金沙一期,在售,商业,青羊/外金沙/清涟路27号,25000
蓝光COCO金沙一期,在售,底商,青羊/外金沙/清涟路27号,25000
泊里中心,在售,商业类,成华/东客站/成华邛崃山路与迎晖路交汇处,17500
成都后花园四期,在售,商业类,郫都/成外/犀浦镇国宁东路1019号,11000
珑悦锦云花园,在售,住宅,成华/龙潭寺/龙港路369号,18200
